Age,Ba138Ca,BaCa,SrCa,UCa
1798.715,0.00394148,0.00398241,8.70122,0.00120882
1798.731,0.00392614,0.0039821,8.85827,0.00126729
1798.748,0.00402264,0.0039811,8.97295,0.00139769
1798.764,0.00383634,0.00393385,8.93189,0.00135778
1798.78,0.00385077,0.00384673,8.72642,0.00123755
1798.796,0.00389691,0.00391945,9.12646,0.00142068
1798.812,0.00357502,0.00359488,8.7396,0.00142857
1798.829,0.00390356,0.00393745,8.96399,0.00139883
1798.845,0.00380348,0.00383045,9.03344,0.00145002
1798.861,0.0036513,0.00365081,8.79828,0.0013671
1798.877,0.00375938,0.00379176,8.9206,0.00134392
1798.894,0.00355884,0.00355889,9.05999,0.00142569
1798.91,0.00347521,0.0034104,8.77067,0.00135168
1798.926,0.00367098,0.00352598,8.91773,0.00137149
1798.942,0.00358369,0.00348645,8.92988,0.00144677
1798.958,0.00356639,0.00353386,8.71995,0.0013716
1798.975,0.00377201,0.00371547,8.98206,0.00147737
1798.991,0.00346291,0.0035313,8.69264,0.00129757
1799.007,0.00391999,0.00377241,8.77646,0.00131579
1799.023,0.00388655,0.00376456,8.79778,0.00132953
1799.04,0.00367584,0.00367217,8.67118,0.00128014
1799.056,0.00372634,0.00364508,8.73422,0.00131291
1799.072,0.00371952,0.00378804,8.81778,0.00128304
1799.088,0.00379847,0.00367421,8.66962,0.00126407
1799.104,0.00410041,0.00431223,9.32953,0.00159448
1799.14,0.00479046,0.00486789,9.44253,0.00159138
1799.175,0.00484794,0.00478942,8.88778,0.00135753
1799.211,0.00474921,0.0046911,8.88681,0.00127014
1799.246,0.00363219,0.00372349,8.63654,0.00106991
1799.282,0.00356397,0.00365278,8.8318,0.00118192
1799.318,0.00346176,0.00352998,8.72574,0.00114472
1799.353,0.00356459,0.00355225,8.82752,0.00113136
1799.389,0.00345394,0.00351503,8.87788,0.00123755
1799.424,0.00329895,0.00344111,9.01867,0.00128608
1799.46,0.00337145,0.00344002,8.92868,0.00124402
1799.495,0.00348651,0.00338143,8.94727,0.00135939
1799.531,0.00353825,0.00343916,8.93202,0.0012742
1799.566,0.00374109,0.00369906,9.00781,0.00127536
1799.602,0.0034518,0.00341216,9.03592,0.00127468
1799.652,0.00327049,0.00345523,9.07342,0.00128827
1799.702,0.00351398,0.00354749,9.16938,0.00137708
1799.752,0.00349412,0.00353164,9.10544,0.00138794
1799.803,0.00355306,0.00362231,9.04579,0.00129576
1799.853,0.00368411,0.00376647,8.90737,0.00119208
1799.903,0.00360753,0.00355664,9.05268,0.00131119
1799.954,0.00324341,0.00337481,9.04208,0.00133518
1800.004,0.00344024,0.00359478,9.13918,0.00141244
1800.054,0.00360188,0.00372001,8.95964,0.00127497
1800.104,0.00388276,0.00393686,9.14157,0.00139764
1800.124,0.00337617,0.00352743,8.79939,0.00127809
1800.144,0.00367544,0.00361324,9.07947,0.00134084
1800.164,0.00356613,0.00351767,8.8235,0.00122627
